Method	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
NaiveShuffle	2.41	0.59	0.58	0.6	0.54	0.52	0.56	0.58	0.58	0.6	0.63	0.5	0.58	0.61	0.61	0.62	0.58	0.57	0.5	0.46	0.45	0.62	0.57	None	None	None	None
StockhamShuffle	0.57	0.58	0.66	0.66	0.59	0.75	0.74	0.73	0.74	0.81	0.74	0.69	0.85	0.85	0.8	0.86	0.94	0.98	0.92	0.98	0.88	1.05	0.91	None	None	None	None
COBRAShuffle	0.6	0.63	0.53	0.76	0.59	0.61	0.62	0.63	0.62	0.56	0.65	0.6	0.65	0.67	0.61	0.58	0.58	0.53	0.54	0.53	0.61	0.53	0.5	0.61	0.55	0.58	0.57
LocalPairwiseShuffle	0.5	0.57	0.58	0.57	0.54	0.6	0.64	0.64	0.53	0.53	0.63	0.57	0.66	0.6	0.52	0.51	0.54	0.51	0.51	0.65	0.62	0.57	0.69	0.56	0.59	0.66	0.64
RecursiveShuffle	0.62	0.59	0.66	0.66	0.92	0.94	0.75	0.65	0.68	0.7	0.7	0.73	0.9	0.75	1.02	0.91	0.76	0.82	0.81	0.79	0.58	0.58	0.58	0.74	0.64	0.65	0.62
SemiRecursiveShuffle	0.48	0.48	0.49	0.67	0.9	1.01	0.87	0.8	0.69	0.72	0.67	0.78	0.91	0.89	1.05	1.01	1.62	1.51	2.18	2.07	4.77	4.89	6.65	6.81	17.69	17.55	24.36
TableShuffle	0.53	0.5	0.44	0.44	0.46	0.45	0.46	0.45	0.61	0.5	0.46	0.45	0.58	0.47	0.61	0.48	0.58	0.44	0.55	0.58	0.58	0.59	0.55	None	None	None	None
UnrolledShuffle	0.48	0.61	0.63	0.65	1.06	0.83	1.52	1.84	4.65	6.17	16.77	23.16	66.95	None	None	None	None	None	None	None	None	None	None	None	None	None	None
OutOfPlaceCOBRAShuffle	0.62	0.64	0.51	0.55	0.56	0.53	0.58	0.53	0.56	0.63	0.52	0.63	0.51	0.6	0.53	0.6	0.59	0.55	0.62	0.63	0.61	0.57	0.54	0.64	0.59	0.63	0.6
XORShuffle	0.53	0.58	0.52	0.57	0.55	0.49	0.45	0.44	0.44	0.44	0.61	0.61	0.56	0.45	0.58	0.53	0.58	0.6	0.62	0.58	0.54	0.55	0.62	None	None	None	None
