N_BITS	NaiveShuffle	StockhamShuffle	COBRAShuffle	LocalPairwiseShuffle	RecursiveShuffle	SemiRecursiveShuffle	TableShuffle	UnrolledShuffle	OutOfPlaceCOBRAShuffle	XORShuffle	OpenMPSemiRecursiveShuffle
4	6.2438e-07	6.2999e-07	7.3887e-07	6.0832e-07	6.0622e-07	8.1076e-07	5.5943e-07	5.9294e-07	6.9214e-07	6.2855e-07	nan
5	1.14196e-06	1.04759e-06	9.0238e-07	6.6771e-07	6.251e-07	6.5093e-07	7.3959e-07	6.0483e-07	6.6906e-07	7.1515e-07	nan
6	1.10075e-06	1.52604e-06	8.3737e-07	7.515e-07	6.6699e-07	7.1729e-07	7.1589e-07	6.5375e-07	9.7083e-07	7.6546e-07	nan
7	3.59961e-06	2.30195e-06	1.23967e-06	6.5233e-07	7.2073e-07	6.3204e-07	8.6814e-07	7.1514e-07	1.35703e-06	1.03086e-06	nan
8	3.00179e-06	1.89407e-06	2.64279e-06	1.50017e-06	9.9319e-07	8.5971e-07	9.8127e-07	9.9527e-07	1.73765e-06	1.36404e-06	nan
9	1.45612e-05	8.60514e-06	3.06606e-06	2.40045e-06	1.24739e-06	1.40014e-06	1.14543e-06	1.13703e-06	2.04218e-06	2.95917e-06	nan
10	1.12926e-05	1.2306e-05	4.94478e-06	1.9311e-06	1.80885e-06	3.56123e-06	1.84517e-06	2.62814e-06	6.6482e-06	3.54164e-06	nan
11	7.14167e-05	3.80629e-05	1.79862e-05	9.72958e-06	5.74375e-06	1.57911e-05	8.23007e-06	3.60316e-06	1.0544e-05	9.90703e-06	nan
12	0.00013778	9.54885e-05	6.06608e-05	1.34905e-05	2.32948e-05	2.49515e-05	1.46463e-05	1.42107e-05	3.12051e-05	2.83185e-05	nan
13	0.000112468	0.000208087	3.25671e-05	1.79659e-05	3.96567e-05	6.41032e-05	2.73072e-05	4.21596e-05	6.22573e-05	2.93495e-05	nan
14	0.000564394	0.000533865	0.000186562	0.000121935	3.75802e-05	0.000107636	6.33008e-05	8.87738e-05	0.000131913	0.000180694	nan
15	0.000571554	0.000788061	0.000341241	9.7731e-05	0.00033889	0.000368845	0.000348324	0.000156713	0.000225281	0.000371371	nan
16	0.00215567	0.00178665	0.000584795	0.000557818	0.000201542	0.000481621	0.000428335	0.000389968	0.000476691	0.000652866	nan
17	0.00277951	0.00258406	0.00104377	0.00101957	0.000754545	0.000752007	0.000533358	nan	0.000899089	0.000573658	nan
18	0.00729244	0.00594163	0.00168601	0.00193409	0.00154637	0.00171173	0.00131009	nan	0.000849182	0.0021519	nan
19	0.0120303	0.0105318	0.00203048	0.00343806	0.00398594	0.002729	0.00285028	nan	0.00349019	0.0029824	nan
20	0.0270126	0.0279062	0.0061155	0.0055261	0.00854342	0.007043	0.00951947	nan	0.0072668	0.0123273	nan
21	0.0928461	0.0596656	0.012666	0.0141165	0.0232982	0.0226433	0.0349062	nan	0.0166205	0.0333003	nan
22	0.217609	0.138937	0.0264115	0.0344969	0.0422797	0.0324166	0.0740829	nan	0.0317207	0.0793098	nan
23	0.465891	0.30819	0.0556245	0.0743051	0.121208	0.098017	0.175312	nan	0.0626363	0.146431	nan
24	0.962042	0.677668	0.108518	0.162661	0.162458	0.143435	0.342272	nan	0.127145	0.287514	nan
25	1.95723	1.48193	0.219986	0.350891	0.463859	0.43146	0.645541	nan	0.251539	0.600427	nan
26	3.99067	3.21267	0.438222	0.767475	0.780476	0.62379	1.29425	nan	0.503757	1.16858	nan
27	nan	nan	0.874674	1.58944	2.09398	1.81996	nan	nan	1.00595	nan	nan
28	nan	nan	1.80979	3.3706	2.92003	2.69227	nan	nan	2.02558	nan	nan
29	nan	nan	3.66688	6.85625	8.14973	7.67029	nan	nan	4.07473	nan	nan
30	nan	nan	7.80615	14.4182	14.7814	11.9653	nan	nan	8.20844	nan	nan
