N_BITS	NaiveShuffle	StockhamShuffle	COBRAShuffle	LocalPairwiseShuffle	RecursiveShuffle	SemiRecursiveShuffle	TableShuffle	UnrolledShuffle	OutOfPlaceCOBRAShuffle	XORShuffle	OpenMPSemiRecursiveShuffle
4	8.38e-07	1.676e-06	3.562e-06	6.99e-07	6.29e-07	1.188e-06	6.29e-07	6.29e-07	2.864e-06	9.08e-07	nan
5	2.864e-06	3.632e-06	4.68e-06	1.0546e-05	6.29e-07	7.68e-07	1.607e-06	6.29e-07	3.841e-06	1.118e-06	nan
6	1.0686e-05	9.708e-06	3.213e-06	1.187e-06	6.99e-07	1.677e-06	9.78e-07	7.69e-07	5.588e-06	1.327e-06	nan
7	6.565e-06	1.1245e-05	1.5714e-05	9.08e-07	9.78e-07	8.38e-07	1.676e-06	8.39e-07	7.404e-06	1.607e-06	nan
8	1.4457e-05	1.1524e-05	1.1524e-05	3.911e-06	1.956e-06	1.676e-06	1.606e-06	1.746e-06	9.429e-06	3.004e-06	nan
9	4.2952e-05	1.6343e-05	9.708e-06	5.937e-06	2.934e-06	1.7809e-05	1.676e-06	2.654e-06	1.0546e-05	4.05e-06	nan
10	2.2699e-05	2.4654e-05	1.5016e-05	2.445e-06	2.445e-06	6.007e-06	2.654e-06	9.638e-06	3.1499e-05	6.704e-06	nan
11	0.0001056	5.252e-05	5.9505e-05	5.3219e-05	1.6203e-05	6.8375e-05	1.1175e-05	1.2013e-05	3.7156e-05	1.2362e-05	nan
12	0.000183264	0.000138286	0.000111537	2.9473e-05	2.8495e-05	2.7377e-05	4.365e-05	2.2978e-05	0.000107905	4.4e-05	nan
13	0.000131162	0.000297874	4.868e-05	2.9333e-05	7.7943e-05	0.000111676	5.1892e-05	6.4603e-05	0.000191156	4.393e-05	nan
14	0.00106355	0.00100236	0.000271473	0.000151835	6.9212e-05	0.000442166	8.374e-05	0.00012739	0.000296965	0.000213924	nan
15	0.000624243	0.00100383	0.000424357	0.000133397	0.000467798	0.000601543	0.000412552	0.000241861	0.000486305	0.000435741	nan
16	0.00462238	0.00303803	0.000735429	0.000828807	0.000240743	0.000658324	0.0005984	0.000624451	0.0010905	0.000875881	nan
17	0.00286943	0.0042166	0.00231482	0.00138928	0.00155509	0.000978267	0.000655042	nan	0.00225078	0.000602592	nan
18	0.0188002	0.014476	0.00291238	0.00287579	0.00216815	0.00241099	0.00168869	nan	0.00148741	0.00287097	nan
19	0.0204093	0.0113253	0.00227019	0.00586514	0.00861402	0.00328722	0.00370969	nan	0.00745549	0.00341329	nan
20	0.0764329	0.0587573	0.0110936	0.00618103	0.0152035	0.0108258	0.0229087	nan	0.0128914	0.0277629	nan
21	0.163493	0.0739907	0.0129505	0.0147748	0.0251522	0.0431507	0.062028	nan	0.0188757	0.0611493	nan
22	0.224531	0.212772	0.0268902	0.0523502	0.0583778	0.0447346	0.125415	nan	0.033662	0.111226	nan
23	0.584305	0.403267	0.0807016	0.110566	0.174889	0.110849	0.21173	nan	0.0633767	0.148116	nan
24	0.992	0.809844	0.108793	0.163759	0.163099	0.185969	0.362687	nan	0.166637	0.372965	nan
25	2.0916	1.48586	0.24522	0.424337	0.472714	0.485893	0.783616	nan	0.252556	0.679552	nan
26	4.08245	3.33912	0.492259	0.869493	0.872899	0.698353	1.32948	nan	0.58312	1.30273	nan
27	nan	nan	0.936104	1.61861	2.2018	1.91484	nan	nan	1.00919	nan	nan
28	nan	nan	1.81198	3.39689	2.96155	2.74696	nan	nan	2.09947	nan	nan
29	nan	nan	3.67002	6.85776	8.50892	7.70853	nan	nan	4.08486	nan	nan
30	nan	nan	7.8134	14.439	14.9578	11.9965	nan	nan	8.23062	nan	nan
