N_BITS	NaiveShuffle	StockhamShuffle	COBRAShuffle	LocalPairwiseShuffle	RecursiveShuffle	SemiRecursiveShuffle	TableShuffle	UnrolledShuffle	OutOfPlaceCOBRAShuffle	XORShuffle	OpenMPSemiRecursiveShuffle
4	5.58e-07	5.58e-07	6.98e-07	5.58e-07	5.58e-07	6.28e-07	5.58e-07	5.58e-07	6.28e-07	5.58e-07	nan
5	1.047e-06	9.07e-07	8.38e-07	5.58e-07	5.58e-07	6.28e-07	5.58e-07	5.58e-07	6.28e-07	6.28e-07	nan
6	9.77e-07	1.327e-06	7.68e-07	6.98e-07	6.28e-07	6.28e-07	6.98e-07	6.28e-07	9.07e-07	6.98e-07	nan
7	3.492e-06	2.165e-06	9.07e-07	6.28e-07	6.98e-07	5.59e-07	7.68e-07	6.98e-07	1.257e-06	9.77e-07	nan
8	2.863e-06	1.746e-06	2.444e-06	1.396e-06	8.38e-07	7.68e-07	9.08e-07	8.38e-07	1.606e-06	1.257e-06	nan
9	1.4177e-05	8.381e-06	2.933e-06	2.304e-06	1.187e-06	1.117e-06	1.048e-06	1.048e-06	1.885e-06	2.864e-06	nan
10	1.0756e-05	1.1873e-05	4.609e-06	1.885e-06	1.746e-06	3.422e-06	1.746e-06	2.165e-06	6.285e-06	3.352e-06	nan
11	7.012e-05	3.7644e-05	1.7041e-05	8.66e-06	5.377e-06	1.4457e-05	7.962e-06	3.492e-06	1.0057e-05	9.707e-06	nan
12	0.000128648	9.1352e-05	5.2381e-05	1.32e-05	2.2908e-05	2.4723e-05	9.428e-06	1.3409e-05	2.7517e-05	2.7308e-05	nan
13	0.000111327	0.00019374	2.7378e-05	1.739e-05	3.8693e-05	6.1042e-05	2.5981e-05	4.1066e-05	5.9714e-05	2.8356e-05	nan
14	0.000461793	0.000403963	0.000122781	0.000112444	3.6807e-05	8.7931e-05	6.1531e-05	8.6463e-05	0.00012348	0.00017146	nan
15	0.000557544	0.000710356	0.000285791	9.4635e-05	0.000307441	0.000290121	0.000319104	0.000151695	0.000205194	0.000326369	nan
16	0.00156424	0.00140249	0.000487212	0.000466889	0.000195556	0.000411714	0.000278178	0.000339778	0.000413462	0.000549513	nan
17	0.0027102	0.00240659	0.000721181	0.000817911	0.000741226	0.000742553	0.000504464	nan	0.000689683	0.000560826	nan
18	0.00643673	0.00470633	0.00127405	0.00156123	0.00126384	0.00122718	0.00119135	nan	0.000813792	0.00165517	nan
19	0.0116021	0.0104081	0.00184493	0.00270747	0.0031664	0.00261269	0.00275412	nan	0.00289353	0.00291972	nan
20	0.0251313	0.0256917	0.00522755	0.00541438	0.00783759	0.00641507	0.00852462	nan	0.00668451	0.00983675	nan
21	0.0904696	0.0592037	0.012542	0.0139425	0.0230162	0.0207033	0.0333936	nan	0.015591	0.0314281	nan
22	0.217278	0.135911	0.0262486	0.0327955	0.0418045	0.0309158	0.0719078	nan	0.0313456	0.077111	nan
23	0.463882	0.304671	0.0537424	0.0722996	0.119441	0.0977213	0.163464	nan	0.0623246	0.14602	nan
24	0.961254	0.67424	0.108188	0.162367	0.162259	0.141871	0.319371	nan	0.124963	0.284953	nan
25	1.95295	1.47988	0.218234	0.349162	0.462751	0.428797	0.627359	nan	0.250902	0.598143	nan
26	3.98821	3.19697	0.436704	0.765931	0.779147	0.619906	1.26751	nan	0.501575	1.16252	nan
27	nan	nan	0.873151	1.5861	2.08969	1.81564	nan	nan	1.00347	nan	nan
28	nan	nan	1.80684	3.36476	2.91278	2.68631	nan	nan	2.01972	nan	nan
29	nan	nan	3.66474	6.85233	8.13399	7.65916	nan	nan	4.06309	nan	nan
30	nan	nan	7.79934	14.4036	14.7632	11.9564	nan	nan	8.17714	nan	nan
