Method	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
NaiveShuffle	0.9	0.91	0.91	0.93	0.92	0.92	0.91	0.92	0.91	0.99	0.91	0.91	0.89	0.89	0.89	0.91	0.92	0.9	0.91	0.88	0.9	0.87	0.9	0.9	0.91
StockhamShuffle	0.93	0.98	1.06	1.22	1.36	1.66	1.52	1.69	1.76	2.13	2.75	2.26	2.08	2.91	1.83	2.43	2.93	2.2	2.7	2.58	2.44	2.54	3.24	2.83	2.62
COBRAShuffle	0.88	0.89	0.98	1.0	0.98	0.98	0.98	0.96	0.95	1.03	0.96	0.99	0.96	1.03	0.94	0.96	0.98	0.98	0.95	0.98	0.99	0.95	0.98	0.95	0.96
LocalPairwiseShuffle	0.91	0.89	0.95	0.98	1.08	1.07	1.46	1.51	1.75	1.98	2.43	2.71	2.52	2.8	2.5	2.76	2.86	3.19	3.59	4.01	2.76	3.05	3.45	3.81	2.74
RecursiveShuffle	0.92	0.87	0.93	0.97	1.23	1.81	1.01	1.06	1.02	1.17	1.21	1.24	1.77	1.77	3.56	3.54	1.06	1.14	1.14	1.1	1.17	1.36	1.36	1.36	1.26
SemiRecursiveShuffle	0.91	0.91	0.92	1.01	1.23	1.81	1.0	1.02	1.08	1.16	1.23	1.22	1.77	1.77	3.57	3.57	4.37	2.95	2.69	2.63	3.48	3.62	6.19	6.22	10.61
TableShuffle	0.9	0.92	0.9	0.89	0.9	0.92	0.89	0.88	0.9	0.87	0.91	0.87	0.9	0.91	0.91	0.89	0.89	0.88	0.9	0.9	0.9	0.92	0.88	0.87	0.9
UnrolledShuffle	0.88	0.89	0.97	0.98	1.24	1.8	4.09	2.11	4.25	4.53	9.74	31.25	76.1	None	None	None	None	None	None	None	None	None	None	None	None
OutOfPlaceCOBRAShuffle	0.9	0.9	0.92	0.9	0.92	0.92	0.93	0.93	0.93	0.94	0.95	0.93	0.91	0.92	0.89	0.92	0.9	0.9	0.94	0.91	0.92	0.94	0.93	0.94	0.92
XORShuffle	0.91	0.9	0.92	0.91	0.91	0.91	0.91	0.89	0.91	0.92	0.89	0.92	0.9	0.99	0.91	0.9	0.9	0.88	0.9	0.87	0.89	0.91	0.9	0.9	0.92
