Method	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
NaiveShuffle	0.78	0.69	0.66	0.6	0.72	0.74	0.73	0.62	0.7	0.7	0.58	0.66	0.73	0.62	0.66	0.69	0.71	0.67	0.66	0.67	0.68	0.73	0.71	None	None	None	None
StockhamShuffle	0.85	0.78	0.72	0.93	0.76	0.83	0.76	0.97	1.05	1.23	0.97	1.16	1.2	1.2	1.06	1.1	0.95	1.18	1.0	1.18	1.28	1.64	1.78	None	None	None	None
COBRAShuffle	0.76	0.72	0.7	0.75	0.75	0.74	0.62	0.74	0.74	0.61	0.69	0.69	0.63	0.71	0.74	0.61	0.68	0.75	0.75	0.69	0.61	0.6	0.74	0.72	0.75	0.58	0.66
LocalPairwiseShuffle	0.69	0.63	0.76	0.69	0.68	0.83	0.89	0.96	1.07	1.12	1.39	1.53	1.2	1.42	1.23	1.74	1.7	1.89	1.56	1.74	2.22	2.16	1.83	1.97	1.34	1.44	1.86
RecursiveShuffle	0.71	0.6	0.62	0.64	0.94	1.25	0.67	0.69	0.88	0.96	0.94	1.03	1.03	0.91	1.02	1.23	0.82	0.78	0.83	0.83	0.82	1.14	1.14	1.06	1.07	0.99	1.09
SemiRecursiveShuffle	0.71	0.64	0.62	0.66	0.8	1.07	0.72	0.83	0.85	0.8	0.89	1.05	1.03	1.02	1.07	1.23	2.13	2.1	2.61	3.32	7.01	6.03	8.63	8.45	25.95	27.81	32.02
TableShuffle	0.72	0.72	0.63	0.68	0.63	0.74	0.74	0.73	0.7	0.74	0.64	0.74	0.69	0.71	0.67	0.71	0.67	0.72	0.71	0.71	0.73	0.7	0.62	None	None	None	None
UnrolledShuffle	0.75	0.74	0.74	0.77	0.94	1.22	2.06	2.55	6.44	7.97	25.44	30.13	105.34	None	None	None	None	None	None	None	None	None	None	None	None	None	None
OutOfPlaceCOBRAShuffle	0.68	0.74	0.64	0.63	0.6	0.67	0.64	0.69	0.68	0.69	0.69	0.76	0.69	0.71	0.67	0.74	0.71	0.72	0.72	0.71	0.76	0.72	0.72	0.7	0.71	0.73	0.72
XORShuffle	0.68	0.74	0.71	0.66	0.59	0.54	0.72	0.74	0.66	0.64	0.71	0.73	0.71	0.69	0.68	0.6	0.72	0.72	0.68	0.69	0.72	0.73	0.7	None	None	None	None
OpenMPSemiRecursiveShuffle	0.81	0.73	0.77	0.82	0.98	1.28	0.68	0.81	0.83	0.87	1.02	1.01	0.99	1.02	1.24	1.25	2.15	2.12	2.85	3.2	7.87	6.57	8.22	8.24	26.12	25.43	32.17
