N_BITS	NaiveShuffle	StockhamShuffle	COBRAShuffle	LocalPairwiseShuffle	RecursiveShuffle	SemiRecursiveShuffle	TableShuffle	UnrolledShuffle	OutOfPlaceCOBRAShuffle	XORShuffle	OpenMPSemiRecursiveShuffle
4	5.8597e-07	6.2015e-07	8.0387e-07	7.1655e-07	6.1533e-07	1.03229e-06	5.6227e-07	6.4252e-07	6.4535e-07	6.5236e-07	5.6012e-07
5	8.1642e-07	7.8505e-07	7.8294e-07	6.6976e-07	5.6572e-07	5.7965e-07	6.5375e-07	5.7271e-07	7.5568e-07	5.9506e-07	5.727e-07
6	9.9387e-07	1.50439e-06	8.4576e-07	5.9713e-07	6.6906e-07	6.1808e-07	7.501e-07	5.8874e-07	1.20058e-06	8.2551e-07	6.6211e-07
7	1.90874e-06	2.62182e-06	2.28662e-06	9.3371e-07	6.5445e-07	6.3345e-07	7.6182e-07	6.2297e-07	9.0087e-07	1.07698e-06	8.1016e-07
8	1.48899e-06	4.20306e-06	4.0718e-06	1.42686e-06	7.7105e-07	9.3656e-07	1.40322e-06	8.9609e-07	1.27808e-06	1.64123e-06	7.0397e-07
9	4.64787e-06	1.04308e-05	7.19222e-06	2.32858e-06	1.19221e-06	9.7499e-07	3.23295e-06	2.08894e-06	4.80927e-06	1.51625e-06	8.6672e-07
10	1.54894e-05	2.33215e-05	1.77937e-05	6.5169e-06	1.99187e-06	4.98665e-06	2.29848e-06	1.18455e-06	9.62422e-06	4.0501e-06	0.0023447
11	3.52699e-05	2.436e-05	2.65531e-05	1.07597e-05	1.83432e-05	1.45849e-05	4.10595e-06	2.06172e-06	1.10377e-05	3.89015e-06	0.000715087
12	7.84444e-05	5.44532e-05	2.04034e-05	2.35777e-05	9.84975e-06	2.78688e-05	3.33898e-05	6.05383e-06	3.79399e-05	1.79457e-05	2.13588e-05
13	7.20811e-05	0.000301459	0.000112032	2.01932e-05	8.11397e-05	8.42084e-05	8.19085e-05	4.72017e-05	2.90736e-05	7.77529e-05	0.000319839
14	0.000308218	0.000242305	8.47695e-05	0.000144654	0.000113759	0.000113538	0.000181426	0.000104592	6.99916e-05	0.000170572	6.54195e-05
15	0.000672642	0.0011216	0.000169534	0.000302268	0.00038292	0.000225967	0.000120826	0.000108666	0.000308134	0.000111202	0.000870574
16	0.000750231	0.0020566	0.000345165	0.000648631	0.000509692	0.000503388	0.000666088	0.000225628	0.000268641	0.000690879	0.000868168
17	0.00313278	0.00367448	0.000686421	0.00111854	0.00130017	0.00126212	0.00114284	nan	0.000607113	0.00118285	0.00216849
18	0.0079248	0.00651827	0.00230695	0.00231951	0.0015982	0.0014881	0.00112099	nan	0.000941754	0.00169493	0.00276714
19	0.0131579	0.0142345	0.00261588	0.00364668	0.00403309	0.00401334	0.00385251	nan	0.00348459	0.00293416	0.00434037
20	0.0301208	0.0309786	0.00621621	0.00777833	0.00832887	0.00642484	0.0099464	nan	0.00619551	0.0101747	0.00391193
21	0.0995057	0.0678435	0.0156621	0.0146501	0.0256079	0.021956	0.0332182	nan	0.01636	0.0320567	0.0183423
22	0.233326	0.151658	0.0318157	0.034119	0.0457907	0.0339452	0.07492	nan	0.032533	0.0690305	0.0213981
23	0.495371	0.332736	0.0666096	0.0755701	0.126204	0.101754	0.148426	nan	0.066754	0.125482	0.0837905
24	1.02112	0.730364	0.131672	0.16769	0.172521	0.157357	0.316028	nan	0.131747	0.255313	0.106134
25	2.09911	1.59223	0.263135	0.359077	0.487742	0.459894	0.584369	nan	0.267485	0.519093	0.35715
26	4.26466	3.44642	0.537223	0.787987	0.849991	0.679856	1.15525	nan	0.519946	1.03935	0.410542
27	nan	nan	1.07622	1.62202	2.26762	1.95849	nan	nan	1.048	nan	1.42253
28	nan	nan	2.14749	3.42813	3.00705	2.88511	nan	nan	2.11062	nan	1.59574
29	nan	nan	4.29685	6.9933	8.34112	8.08204	nan	nan	4.23039	nan	5.52232
30	nan	nan	9.12343	14.6958	15.3732	12.5519	nan	nan	8.61094	nan	6.57285
