N_BITS	NaiveShuffle	StockhamShuffle	COBRAShuffle	LocalPairwiseShuffle	RecursiveShuffle	SemiRecursiveShuffle	TableShuffle	UnrolledShuffle	OutOfPlaceCOBRAShuffle	XORShuffle	OpenMPSemiRecursiveShuffle
4	6.29e-07	1.606e-06	3.842e-06	1.2152e-05	6.98e-07	3.5549e-05	6.29e-07	1.117e-06	2.096e-06	9.08e-07	6.28e-07
5	1.048e-06	1.0057e-05	1.0965e-05	1.0686e-05	6.29e-07	6.29e-07	9.78e-07	6.29e-07	9.499e-06	6.99e-07	6.29e-07
6	1.1454e-05	6.635e-06	2.235e-06	9.08e-07	1.607e-06	7.68e-07	1.257e-06	6.98e-07	8.94e-06	1.187e-06	8.38e-07
7	2.514e-06	1.1803e-05	8.311e-06	1.397e-06	1.606e-06	8.38e-07	1.187e-06	7.68e-07	4.539e-06	1.607e-06	6.495e-06
8	1.816e-06	1.4247e-05	1.2083e-05	2.514e-06	2.235e-06	2.026e-06	2.235e-06	1.886e-06	5.727e-06	2.514e-06	1.676e-06
9	1.5645e-05	2.193e-05	1.9346e-05	3.283e-06	3.5409e-05	3.353e-06	4.749e-06	7.962e-06	1.4388e-05	2.095e-06	3.981e-06
10	2.6121e-05	4.1486e-05	6.4743e-05	8.9537e-05	2.584e-06	6.146e-06	2.863e-06	6.914e-06	4.1625e-05	1.7181e-05	0.0139395
11	6.4464e-05	3.4641e-05	5.5733e-05	1.7809e-05	5.1543e-05	0.000271682	5.378e-06	1.4178e-05	2.9822e-05	2.9473e-05	0.0129124
12	0.000150997	8.381e-05	3.7366e-05	6.3835e-05	2.1442e-05	2.9892e-05	5.5593e-05	2.4724e-05	0.000115098	3.108e-05	0.000164336
13	0.000218743	0.00045781	0.000187106	3.108e-05	0.000124178	0.000125296	0.000101898	8.0457e-05	7.2845e-05	9.4146e-05	0.019042
14	0.000367644	0.000329651	0.000114401	0.000163848	0.000165873	0.00015428	0.000230965	0.000163988	0.000147505	0.000230267	0.000174393
15	0.000854299	0.00198552	0.000199397	0.000353606	0.000547976	0.000299409	0.000149391	0.000257226	0.000665588	0.000146248	0.0132962
16	0.000801149	0.00345896	0.000381055	0.000790324	0.000594001	0.000595537	0.000814909	0.000550141	0.000553843	0.000999709	0.00699704
17	0.00322834	0.00894136	0.00073208	0.00168436	0.00247092	0.00204495	0.00157429	nan	0.0012714	0.00171118	0.0151597
18	0.0162438	0.0107367	0.00497704	0.00459919	0.00251338	0.00190723	0.00193098	nan	0.00163031	0.00314789	0.00954695
19	0.017618	0.0306231	0.00293138	0.00581373	0.00845247	0.00947098	0.00847869	nan	0.00650588	0.0038324	0.0207866
20	0.0832742	0.061363	0.00729695	0.0139164	0.0101271	0.00856513	0.0244804	nan	0.00915853	0.0239269	0.0129374
21	0.157997	0.104861	0.0175873	0.0150048	0.0425943	0.0267636	0.0532108	nan	0.0181878	0.0594935	0.0358249
22	0.280713	0.233023	0.0325182	0.0347067	0.0752639	0.0486557	0.122989	nan	0.0330027	0.0944446	0.0269893
23	0.496897	0.33398	0.104372	0.100966	0.178668	0.114287	0.150287	nan	0.0951051	0.15399	0.109503
24	1.17407	0.732483	0.131931	0.20067	0.175821	0.209234	0.362822	nan	0.178738	0.298632	0.120183
25	2.22848	1.60164	0.321284	0.423855	0.488703	0.544695	0.614109	nan	0.327564	0.52023	0.390825
26	4.27884	3.5211	0.538049	0.78871	0.945904	0.680041	1.19808	nan	0.552992	1.04133	0.443377
27	nan	nan	1.07738	1.7065	2.33161	1.96146	nan	nan	1.14072	nan	1.5256
28	nan	nan	2.19229	3.42938	3.01003	2.8857	nan	nan	2.18727	nan	1.75723
29	nan	nan	4.33958	7.04514	8.35745	8.12869	nan	nan	4.23919	nan	5.62721
30	nan	nan	9.13034	15.0685	15.41	12.5676	nan	nan	8.63493	nan	6.60436
