N_BITS	NaiveShuffle	StockhamShuffle	COBRAShuffle	LocalPairwiseShuffle	RecursiveShuffle	SemiRecursiveShuffle	TableShuffle	UnrolledShuffle	OutOfPlaceCOBRAShuffle	XORShuffle	OpenMPSemiRecursiveShuffle
4	5.58e-07	5.58e-07	6.99e-07	5.58e-07	5.58e-07	5.58e-07	5.58e-07	5.58e-07	6.28e-07	6.28e-07	5.58e-07
5	7.68e-07	6.28e-07	6.28e-07	5.58e-07	5.58e-07	5.58e-07	6.28e-07	5.58e-07	6.28e-07	5.58e-07	5.58e-07
6	6.98e-07	1.396e-06	7.68e-07	5.58e-07	5.58e-07	5.58e-07	6.98e-07	5.58e-07	1.047e-06	7.68e-07	6.28e-07
7	1.885e-06	2.444e-06	2.165e-06	9.07e-07	5.58e-07	5.59e-07	6.98e-07	5.58e-07	8.38e-07	1.047e-06	5.58e-07
8	1.466e-06	3.98e-06	3.841e-06	1.396e-06	6.29e-07	9.07e-07	1.327e-06	8.38e-07	1.187e-06	1.606e-06	6.28e-07
9	3.911e-06	1.0196e-05	6.914e-06	2.304e-06	7.68e-07	9.07e-07	3.142e-06	1.815e-06	4.679e-06	1.466e-06	7.68e-07
10	1.4876e-05	2.2558e-05	1.5435e-05	5.587e-06	1.955e-06	4.958e-06	2.234e-06	1.117e-06	8.66e-06	3.841e-06	7.962e-06
11	3.4711e-05	2.4165e-05	2.5632e-05	1.0197e-05	1.7739e-05	5.936e-06	4.05e-06	1.885e-06	1.0546e-05	3.492e-06	2.1651e-05
12	7.0819e-05	5.3708e-05	1.9835e-05	1.0336e-05	9.359e-06	2.7517e-05	2.7378e-05	5.517e-06	3.6737e-05	1.1873e-05	1.8019e-05
13	5.5803e-05	0.00023292	0.000101829	1.9835e-05	7.6756e-05	8.2063e-05	7.1587e-05	4.6305e-05	2.7517e-05	5.3289e-05	8.1295e-05
14	0.000275315	0.000239835	8.0527e-05	0.000134654	0.000111746	0.000107486	0.000164687	9.9384e-05	6.5232e-05	0.000159309	6.2508e-05
15	0.00058548	0.00086233	0.0001628	0.000275454	0.00033433	0.000219232	0.000113911	0.000101689	0.000282089	0.000103435	0.000224191
16	0.00071727	0.00153462	0.000332306	0.000556076	0.000440698	0.000440279	0.000552655	0.000211899	0.000249893	0.00054134	0.000271822
17	0.00304717	0.00282061	0.000661888	0.000896203	0.00103756	0.00100425	0.000868058	nan	0.00055943	0.000857372	0.000892641
18	0.0070928	0.00622677	0.00165398	0.00163855	0.00122481	0.00127447	0.00103617	nan	0.000913036	0.00127461	0.000883632
19	0.0127698	0.0120052	0.00254334	0.00304927	0.00324266	0.00314747	0.00290415	nan	0.00302875	0.0028688	0.00304082
20	0.0282634	0.0288476	0.00603966	0.00706717	0.00811479	0.00600859	0.0089575	nan	0.00605463	0.00929693	0.00339618
21	0.0971493	0.0660325	0.0154334	0.0145206	0.0238676	0.021632	0.0318543	nan	0.0161523	0.0303919	0.0161156
22	0.231652	0.150167	0.0316525	0.0340014	0.044245	0.032562	0.0720007	nan	0.0323044	0.0676447	0.020087
23	0.494892	0.33176	0.0648882	0.0743164	0.124455	0.100768	0.147597	nan	0.064689	0.12416	0.0791096
24	1.01909	0.728656	0.131383	0.166477	0.171905	0.155243	0.312618	nan	0.129652	0.254085	0.101838
25	2.09302	1.58876	0.26148	0.357259	0.487009	0.457755	0.576634	nan	0.265015	0.51773	0.353519
26	4.2591	3.44043	0.536524	0.787603	0.848573	0.679646	1.14944	nan	0.518056	1.03754	0.396267
27	nan	nan	1.07509	1.61578	2.26407	1.95466	nan	nan	1.04549	nan	1.403
28	nan	nan	2.14516	3.4225	3.00584	2.88427	nan	nan	2.10385	nan	1.56949
29	nan	nan	4.29065	6.98153	8.32109	8.07577	nan	nan	4.21846	nan	5.46535
30	nan	nan	9.11117	14.6728	15.3541	12.5417	nan	nan	8.58622	nan	6.54697
