N_BITS	NaiveShuffle	StockhamShuffle	COBRAShuffle	LocalPairwiseShuffle	RecursiveShuffle	SemiRecursiveShuffle	TableShuffle	UnrolledShuffle	OutOfPlaceCOBRAShuffle	XORShuffle
4	1.622e-07	3.43133e-07	2.21333e-08	3.39e-08	5.92667e-08	1.00867e-07	7.86e-08	3.26667e-08	4.21167e-07	3.95333e-08
5	3.106e-07	8.62333e-07	2.20333e-08	9.88667e-08	9.86667e-08	1.082e-07	7.66667e-08	8.03e-08	2.32033e-07	2.07833e-07
6	6.937e-07	1.04097e-06	6.52433e-07	9.88e-08	1.95633e-07	1.16267e-07	1.138e-07	7.04333e-08	4.61833e-07	1.65533e-07
7	6.14267e-07	2.29057e-06	1.783e-06	2.52933e-07	2.97967e-07	1.76033e-07	2.05567e-07	1.38533e-07	1.5498e-06	7.363e-07
8	3.20037e-06	5.46427e-06	1.38093e-06	3.958e-07	5.60933e-07	5.86333e-07	4.655e-07	2.428e-07	2.31883e-06	5.481e-07
9	2.97673e-06	9.7718e-06	2.4997e-06	8.66967e-07	4.56867e-07	4.90867e-07	1.26157e-06	7.915e-07	5.61357e-06	1.6316e-06
10	1.61836e-05	3.80655e-05	4.45263e-06	2.34297e-06	4.8093e-06	4.77107e-06	2.72637e-06	1.69503e-06	1.0022e-05	2.64457e-06
11	3.68556e-05	4.0455e-05	2.2438e-05	1.08424e-05	1.88771e-05	1.94001e-05	5.04463e-06	6.52277e-06	1.70386e-05	1.19448e-05
12	8.25567e-05	0.000174085	1.86304e-05	2.87955e-05	2.74611e-05	1.05957e-05	1.30111e-05	8.6073e-06	1.86481e-05	2.7164e-05
13	0.00011548	0.000154234	3.75996e-05	2.61909e-05	3.69472e-05	7.66188e-05	2.81644e-05	2.97794e-05	7.54077e-05	6.79464e-05
14	0.000408949	0.000789572	0.000185748	6.07622e-05	0.000124597	5.13696e-05	0.000151149	6.90555e-05	7.71193e-05	0.000156975
15	0.000820572	0.000751081	0.000153822	0.000346839	0.000186048	0.000183376	0.00032502	0.000168911	0.000361707	0.000257467
16	0.000920453	0.00270941	0.000556238	0.000773828	0.000632591	0.0006455	0.000286679	0.000592106	0.000760258	0.000651298
17	0.00446402	0.00386838	0.00106668	0.000696345	0.0015652	0.00151108	0.000775678	nan	0.0013084	0.000724826
18	0.0114165	0.00905562	0.00336302	0.00190509	0.00190717	0.00242206	0.00263434	nan	0.00316412	0.00281393
19	0.0288062	0.0210357	0.00663024	0.00449826	0.00672883	0.00715049	0.0104892	nan	0.00701709	0.00927655
20	0.0730696	0.0473311	0.0150088	0.0108751	0.0112532	0.00911454	0.0223715	nan	0.0133829	0.0216135
21	0.132815	0.101954	0.0300446	0.0240981	0.0296542	0.0292512	0.0531951	nan	0.0284497	0.0454167
22	0.300561	0.228887	0.0599543	0.0527679	0.0575152	0.0456259	0.111123	nan	0.0580338	0.101294
23	0.585555	0.518519	0.127277	0.119279	0.154497	0.142357	0.223101	nan	0.120688	0.193096
24	1.27365	1.12203	0.281962	0.248934	0.196326	0.209865	0.487911	nan	0.232896	0.453377
25	2.63302	2.30882	0.520407	0.512016	0.575733	0.628158	1.20676	nan	0.490078	1.46867
26	5.51318	5.0061	1.0909	1.15046	1.22682	1.05016	2.88291	nan	0.9566	2.91903
27	10.7451	10.8722	2.22608	2.3008	2.99677	2.67686	6.73676	nan	2.00569	6.50956
28	23.3099	23.0767	4.68055	4.92005	3.8708	3.91683	13.3829	nan	4.02034	16.1676
