N_BITS	NaiveShuffle	StockhamShuffle	COBRAShuffle	LocalPairwiseShuffle	RecursiveShuffle	SemiRecursiveShuffle	TableShuffle	UnrolledShuffle	OutOfPlaceCOBRAShuffle	XORShuffle
4	2.105e-07	1.503e-06	2.85e-08	9.2e-08	1.23e-07	1.79e-07	1.985e-07	9.7e-08	2.2385e-06	1.515e-07
5	3.075e-07	4.226e-06	2.7e-08	1.3e-07	1.585e-07	3.005e-07	1.065e-07	2.785e-07	1.5785e-06	2.805e-07
6	5.885e-07	2.943e-06	1.9225e-06	2.8e-07	8.35e-07	3.485e-07	1.605e-07	2.54e-07	1.513e-06	2.115e-07
7	4.87e-07	4.424e-06	3.747e-06	4.935e-07	9.725e-07	6.575e-07	2.1e-07	7.27e-07	3.884e-06	7.065e-07
8	2.1885e-06	7.5945e-06	2.771e-06	8.75e-07	1.5655e-06	1.9525e-06	4.28e-07	8.065e-07	4.8565e-06	4.825e-07
9	1.7725e-06	9.259e-06	3.698e-06	1.239e-06	1.6475e-06	1.765e-06	8.545e-07	2.3285e-06	1.7932e-05	1.1475e-06
10	9.254e-06	2.8882e-05	4.607e-06	3.329e-06	3.2305e-06	3.4325e-06	1.478e-06	3.6495e-06	2.72885e-05	1.6805e-06
11	3.55235e-05	2.5501e-05	1.72345e-05	8.67e-06	1.6755e-05	3.08035e-05	2.687e-06	9.317e-06	1.97415e-05	7.23e-06
12	5.39955e-05	0.000100847	1.18995e-05	1.902e-05	1.65415e-05	6.2105e-06	9.609e-06	9.8615e-06	2.44715e-05	1.4728e-05
13	7.30465e-05	0.00010311	2.73885e-05	1.58265e-05	2.94715e-05	5.8891e-05	2.3291e-05	2.88035e-05	7.27295e-05	3.8712e-05
14	0.000226658	0.000558714	0.000131224	5.31415e-05	9.39375e-05	3.8221e-05	8.2304e-05	6.1965e-05	0.000100941	9.99655e-05
15	0.000477648	0.000442745	0.000101562	0.000193653	0.000140515	0.000123176	0.000184476	0.000155188	0.000435131	0.000222895
16	0.000647573	0.00221845	0.000337685	0.0004428	0.000433212	0.000343062	0.000170443	0.000472958	0.000763252	0.000526558
17	0.00515919	0.00228854	0.00122136	0.000364587	0.00147625	0.00149172	0.000841549	nan	0.0010283	0.000458401
18	0.0117087	0.00497118	0.00264229	0.00133077	0.00145631	0.002093	0.00189185	nan	0.0019409	0.00231169
19	0.016355	0.0130825	0.00359496	0.00280748	0.00546077	0.00637848	0.00602444	nan	0.00592557	0.00496044
20	0.0423949	0.0256092	0.0102773	0.00586805	0.00942149	0.00712249	0.0127573	nan	0.00870766	0.0110035
21	0.0736765	0.0564738	0.0198358	0.014925	0.0161394	0.0156048	0.0280123	nan	0.0192571	0.0228236
22	0.158058	0.121299	0.0301583	0.0327333	0.0293876	0.0272443	0.057333	nan	0.0335832	0.0508458
23	0.31532	0.267765	0.0667186	0.0612939	0.077893	0.0718822	0.112061	nan	0.0605415	0.0969995
24	0.640945	0.582599	0.144399	0.14187	0.0994103	0.105734	0.244358	nan	0.13063	0.227314
25	1.31981	1.1623	0.260703	0.257162	0.289226	0.316282	0.603981	nan	0.246917	0.735288
26	2.75938	2.52794	0.54854	0.582725	0.615076	0.527437	1.44265	nan	0.491646	1.45998
27	5.38916	5.743	1.11635	1.17584	1.50449	1.35137	3.36995	nan	1.00609	3.25619
28	11.6662	11.8207	2.3686	2.46189	1.93976	1.97067	6.69369	nan	2.01728	8.08658
