N_BITS	NaiveShuffle	StockhamShuffle	COBRAShuffle	LocalPairwiseShuffle	RecursiveShuffle	SemiRecursiveShuffle	TableShuffle	UnrolledShuffle	OutOfPlaceCOBRAShuffle	XORShuffle
4	1.46e-07	2.385e-07	1.9e-08	2.7e-08	5.2e-08	9e-08	6.65e-08	2.45e-08	2.62e-07	2.8e-08
5	2.84e-07	5.845e-07	1.9e-08	9e-08	9e-08	9e-08	6.3e-08	6e-08	1.23e-07	1.82e-07
6	6.61e-07	8.55e-07	5.23e-07	8.15e-08	1.415e-07	9.4e-08	9.9e-08	5.3e-08	3.665e-07	1.455e-07
7	5.79e-07	2.0285e-06	1.5555e-06	2.22e-07	2.37e-07	1.33e-07	1.86e-07	9.1e-08	1.3125e-06	6.78e-07
8	3.117e-06	5.079e-06	1.204e-06	3.36e-07	4.59e-07	4.61e-07	4.36e-07	1.875e-07	2.0375e-06	5.1e-07
9	2.9125e-06	9.437e-06	2.307e-06	8.045e-07	3.53e-07	3.755e-07	1.2135e-06	6.44e-07	4.1225e-06	1.5805e-06
10	1.59925e-05	3.7328e-05	4.268e-06	2.1805e-06	4.726e-06	4.6785e-06	2.665e-06	1.429e-06	7.881e-06	2.553e-06
11	3.5464e-05	3.99855e-05	2.19575e-05	1.0437e-05	1.8243e-05	1.5602e-05	4.964e-06	6.072e-06	1.61685e-05	1.1702e-05
12	8.1321e-05	0.000171494	1.8404e-05	2.8043e-05	2.70785e-05	1.04845e-05	1.2113e-05	8.078e-06	1.7307e-05	2.66375e-05
13	0.000114169	0.000145041	3.68015e-05	2.5661e-05	3.5307e-05	5.1166e-05	2.68505e-05	2.843e-05	7.11735e-05	6.58945e-05
14	0.00040406	0.000356762	0.000181154	5.8692e-05	6.1613e-05	5.01905e-05	0.000147123	6.6811e-05	6.98985e-05	0.000151066
15	0.000390748	0.000729791	0.000151074	0.000318778	0.000176468	0.000169582	0.00031578	0.000143756	0.000266237	0.000122883
16	0.000770457	0.00213106	0.000526166	0.000620151	0.000554493	0.000609132	0.000276368	0.000365762	0.000674192	0.000408381
17	0.0037931	0.00378765	0.000744708	0.000682832	0.000971993	0.000973706	0.000672433	nan	0.00112983	0.00067132
18	0.0107644	0.00891118	0.00272122	0.00178632	0.00172147	0.00191049	0.00219282	nan	0.00304752	0.0022228
19	0.027574	0.0206704	0.00652045	0.00437809	0.00637675	0.00626307	0.00964149	nan	0.00648548	0.00891463
20	0.0701388	0.0468077	0.0143909	0.0107666	0.0105891	0.00859311	0.0220989	nan	0.013088	0.0215309
21	0.131475	0.10132	0.0295205	0.0234197	0.0293932	0.0283775	0.052881	nan	0.0270999	0.0439909
22	0.298113	0.227866	0.0593361	0.052106	0.0569269	0.0452214	0.11078	nan	0.0570664	0.0983696
23	0.58356	0.505515	0.126673	0.115453	0.154064	0.138315	0.222694	nan	0.119947	0.188437
24	1.26838	1.09923	0.279902	0.247147	0.195947	0.205649	0.487327	nan	0.231264	0.452901
25	2.6264	2.30415	0.519835	0.511292	0.574309	0.617566	1.20626	nan	0.48774	1.4674
26	5.50507	4.99817	1.08942	1.14341	1.22207	1.03956	2.88105	nan	0.947012	2.91751
27	10.7385	10.5906	2.22449	2.22391	2.9911	2.66565	6.73427	nan	2.00158	6.50675
28	23.2896	22.452	4.56374	4.91267	3.86852	3.91253	13.3802	nan	4.01346	16.1589
